category,subcategory,value,label
Nutrition,Diet & Meal Planning,diet,Diet & Meal Planning
Nutrition,Supplements,supplements,Supplements
Nutrition,Hydration,hydration,Hydration
Nutrition,General Nutrition,nutrition,General Nutrition
Fitness,Cardio,cardio,Cardio
Fitness,Strength Training,strength,Strength Training
Fitness,Flexibility & Yoga,flexibility,Flexibility & Yoga
Fitness,General Fitness,fitness,General Fitness
Mental Health,Stress Management,stress,Stress Management
Mental Health,Mindfulness,mindfulness,Mindfulness
Mental Health,Sleep Health,sleep,Sleep Health
